lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
juwarin,Noun,Long Tom (fish),,,"juwarin wurne-warang, wonggo yirr-ngun, wonggo ya-lan, yilamagan wudu-ya wiya-ya ya-yu ya-lan","Long Tom is bony, we don't eat it, it doesn't bite, maybe in shallow water it bites."
ngarlaga,Noun,"head, skull",,638546328138210466A LexExampleSentence.wav,ngarlaga nganinggin ngarlaga,"head, my head"
yirlarla-wujban,Noun,travelling bugger,,,,
yimagban,Adverb,"OK, right",,,yimagban nga-jingin,I'm OK.
nja  ynja,Verb,go,,,nganja 1SG yiynja 2SG yanja 3SG nunja 2nd plural,
ngeleleg,Noun,cockatoo,,,menngen marraj,white cockatoo
yarrng,Coverb,"slack offf, stop",,,"wiyan wendi, yarrng yanggi.","It rained, it slacked off."
dodba,Coverb,"cross",,,,
nangala,Noun,subsection name,,,,
yonga-,Verb,"to farewell",,yonga_sentence_ngan-yongorri-lege-yi-yirra-wan-gorronglon-yilamagan-jongorlon.wav,Ngan-yongorri lege-yi yirra-wan gorronglon yilamagan jongorlon.,One person farewelled me when we go south or north.
belejejeman,Noun,"type of small grasshopper, *",,,,
yingagu,Noun,"mother's mother; mother's mother's brother; daughter's child",ngagu-rlang,yingagu.wav,"Ngayugu nga-jingin nganinggin-mulu ngawun-dagbarlan countrymen-mulu  nganinggin wurren, yingagu, ngabobu, and wurre-mulu, yingawa, and yigeyu.","I live (with) my people, I have countrymen, my children, my grandchildren, my own children and brother’s children."
jarrang,Noun,"floodwater, flood",,jarrang.wav,Wiyan ya-nyangan bulma mobonyi wurrwurrma jarrang,"The water comes out at night with a noise, the current"
jilij,Coverb,"to move about, make move about",jilijba,,,
warlgin,Noun,"bed",,warlgin.wav,Warlgin wudagbarlarriya.,They had swags.
girridalgma,Coverb,"spread out coals, charcoal, reorganize fire",,,"girridalgma ya-bun barrunin-gu, mayin-gu wayana yawurr-marnbun",open up coals for the fish and tucker and all
durrudban,Adjective,round,,,"Benegin wurr-mendiya, mardurrudban wurr-marnburriya wuduwudu gayawunbi","They got wax, first of all they made small pellets"
dulubdulub,Coverb,"excavate, extract, dig",,,,
dondonma,Coverb,"shake, shake out",,dondonma_sentence_dondonma-wurr-bundiya.wav,Dondonma wurr-bundiya.,They shook it out.
yimbangari,Noun,skin,,,,
buljung,Coverb,"turn rightside out, turn around",buljungma,buljung.wav,buljungma me yiwarlng.,Turn the dress right side out.
murluma,Noun,name,,,,
ngamarrma,Coverb,drown,,638546319744051444A LexExampleSentence.wav,ngamrrma ye-men wiyan.,that water push him.
wardirrg,Noun,young girl,wardardirrg redup.,,nganbu-dagbarlarriya wardirrg,They were minding me (as a) young girl.
wanggabara,Noun,tortoise,,,gurruyawan wu-darri wanggabara,"Flood, Whale, Turtle (BH)"
yarlarrg,Noun,"leaf, branch",,yarlarrg.wav,"Ngurruwun ya-nan.ga yarlarrg yawurr-gin, yawurr-luma yawurr-marnbun muragin nanbeng dij yawudjingin","When it's hot weather, they put leaves; they cut and make a shade, they sit there."
juju,Noun,"mother's father; mother's father's sister",,,,
Gin.gina,Noun,name,,,,
Barngunyang,Noun,place name n. of Willeroo,,,,
yumin,Noun,"tree, wood",,,,
burrb,Coverb,"jump",,,Dibadba Wudjangandi burrb burrb burrb burrb-mala wuloyirriya,"They came jumping, jump jump jump, they danced"
mawuya,Noun,poison,,,wunma ya-jingin mejern mawuya-wunba,His stomach aches from poison.
golorog,Noun,dove,,,golorog-ja,(placename)
burderde,Noun,knee,,burderde_sentence_burderde-wuya.wav,balngbalngma yawurr-buyin burderde-wuya,They slap their two knees together.
birrbirr,Coverb,"sool up",,,"birrbirrma wunggunburr-gandiya minini warlabang, birrbirr birrbirr birrbirr wurr-yanarriya wurrugu minini-wu","They took the dogs out hunting sooling them up, they said `birrbirr' to the dogs."
duwu,Coverb,"to rear, raise",duwuma,duwuma_sentence_duwuma-bu-yinggawun-yingawuyu.wav,"Duwuma bu, yinggawun yingawuyu.","Grow her up, your wife (said by father to husband)"
yugurni,Conjunction,"again, once again, more",,yugurni.wav,Yugurni dana yi-nyanganyan nganinggin-garr-min.,You'll come again towards me/my way.
galyurra,Coverb,"humbug, disturb",,,galyurra ngan-won.,He is humbugging me.
worroroma,Coverb,"take everywhere",,,worroroma ya-gan yiguyu-yi wurren,Him takeim around everywhere
wadjil,Coverb,"catch, trip",,,"wadjil ye-men yijeng, nyuj ye-wen","He trips, and falls."
newerrma-,Verb,"be hungry",,newerrma_sentence_mayin-ngani-won-nga-newerrma.wav,"Mayin ngani-won, nga-newerrma.","Give me food, I'm hungry."
deb,Coverb,"hit, bash",,deb.wav,Borlgob ya-lawun deb digirrij.,"He reaches (him) sneaking, hit, dead."
warrangma-,Verb,"swear",,warrangma_sentence_yawurr-warrangmiyin-ga.wav,Yawurr-warrangmiyin-ga.,They swear at each other.
derrema,Coverb,"crawler, crawling (one)",,derrema_sentence_derrema-yanja.wav,Derrema yanja.,He crawls.
dagbarla-,Verb,"have, hold, keep",,dagbarla_sentence_wu-dagbarla-yijarlo.wav,Wu-dagbarla yijarlo.,You keep some.
donyman,Adjective,crooked,,,,
mordon,Noun,"creeper, with potato-like tucker",,638546167321123687A LexExampleSentence.wav,mordon yanja yum-nya,The creeper goes on the tree.
nangarij,Coverb,move around,,638546282753218893A LexExampleSentence.wav,Yibiyan yanggudan.ba nangarijba-wa ga-gayg-ba gawg-mala,When it sees people moving around it calls out [night heron].
mabaj,Noun,"tobacco and ash plug",,,,
wololoma,Coverb,"poison",,,wololoma yanggunburr-won mawuya,They poison  them (with) poison.
borle,Adverb,across,,,,
woyi-wujban,Noun,"one who gives, generous",,,,
yiwol,Noun,"picture, shadow, spirit",,,Bulil-wagbawun yiwol-yi wunggun-larriya,"No blood, only the spirit bit them."
wolon,Noun,grass,,wolon.wav,"Garrbgarrb-mala ye-men.ga, ngamandagan, wolon.","She gets handfuls of, what is it again, grass."
gudarlan-warda,Interrogative,where, the world?,,gudalan-warda.wav,
lelema,Coverb,"rustle, rattle (wind, snake, grass)",,638495238562042024A LexExampleSentence.wav,,"It's rustling, in the grass, maybe goanna."
nimbirrima,Adverb,backwards,,,"moticar nimbirrima yanja, gayawarr dul ngan-gandi","the car goes backwards, it nearly bumped me"
lad-bari,Qualitative,skinny,,,"lad-bari, gunju wagbawun",20013 April 22 2024
gily,Coverb,cold,gilyma; giylgiyl(ma),,wujerrijin-garang giylgiylma wiyan,"With the cold, water is cold."
galgalmi-wujban,Noun,"climber",,galgalmi-wujban.wav,nana wurren galgalmiwujban,That child is a climber.
boboba,Coverb,"to heat up",,boboba_sentence_boboba-bu-ngunu.wav,Boboba bu ngunu.,Heat it for me.
warning,Noun,"type of snake",,,,
yiwolma,Coverb,"keep on going one",,yiwolman.wav,Yiwolma yana nganu madin,Talk fluently to me.
gunduyi,Noun,"one who belts, gives hiding",,,,
nyuyn,Coverb,"chuck snot, remove snot",nyunyma,,nyuynma ya-wudba yijurn-ba.,He chucks snot from his nose.
giyarri,Noun,walking stick,,,,jodba yanja giyarri-warra
wurruma,Noun,"fly",,,wurrma ya-yu walngin.,Fly is buzzing.
jorrgon,Noun,cockrag,,jorrgon.wav,Wurranggiya bogogo jorrgon-barra.,They went walkabout with cockrags.
janadba,Adverb,slowly,,638494335298899176A LexExampleSentence.wav,Yanyangan jaburru ngayugu nganyangan janadba jumbamba.,"He is coming lead, I am coming slowly behind."
wabulman,Adjective,light (weight),,,wabulman nana light one; yi-bulman wurren,wabulman is light; child is fat.
mab,Coverb,"round, shaped",,,mab-bari ya-yu.,"It is rounded, shaped."
wiyan,Noun,water,,wiyan_sentence_wiya-gari-wunba-nga-nyangandi.wav,Wiya-gari-wunba nga-nyangandi.,I came last year (last wet season).
birliwirlib,Coverb,"upside down, head over heels",,,Gud gaju  yi-bundi birliwirlib,Get up! you've knocked her head over heels.
gelinye-,Verb,"talk about, speak of",,gelinye_sentence_nganburr-gelinyerriya-wardig-barra-nga-jingiyn-ga.wav,Nganburr-gelinyerriya wardig-barra nga-jingiyn-ga.,They talked about me when I was a young girl.
barndan,Noun,axe,,,,
marninggani,Noun,"sun, Burton's legless lizard",,marninggani_sentence_marninggani-wonggo-gal-nyangandi.wav,Marninggani wonggo gal nyangandi.,The sun has not come up.
jid,Coverb,"stand up",jidba,jidba.wav,Jid yawurrgin yumin.,They stand the tree up.
miyiwun,Noun,"dog",,638545459842456557A LexExampleSentence.wav,"wudu minini, miyiwun wudugurlaman","Small dog, a little one."
yidba-,Verb,"sharpen",,yidba_sentence_wurr-yidbarri-ya-guduru.wav,Wurr-yidbarri-ya guduru.,They shaped/sharpened nullanullas.
yiwangarr,Noun,hair,,,,
guyarru,Noun,masked owl,,,,
menyeyn,Noun,flesh of vegetable,,,megerrman menyeyn-ya  mawarringun,"that tucker is not good, body."
nginngin,Coverb,"shake head, `no', refuse",,,"nginngin ya-nan wonggo yayi-won nginngin yimbu-dan, ya-waliyin wonggo yingang-won","He says no, he can't give it, they say no la we, he is jealous, I can't give you"
gurru-ya,Adjective,"later on, by and by",,gurruya_sentence_gurruya-wu.wav,gurruya-wu,for later
ngardurdug,Coverb,"double-bank, come at from two sides; sit doubled up",,ngardurdug.wav,Ya-jingin.ga ngardurdug.,He is sitting doubled up.
gila-,Verb,"to douse, water, extinguish with water",,,Ngarr-gilan yumin wiya-warra.,Let's douse the tree with water.
murrujunman,Noun,"sand frog",,638546268128283907A LexExampleSentence.wav,wurrujunman wurr-mendiyaw marran-ya,They got green frog in the sand.
warranggin,Noun,corroboree,,,Wu-loyirriya warranggin wangga-biji,"They danced corroboree, only wangga."
wirninginya,Noun,"type of snake",,,,
godjogodjog,Noun,dove,,,"godjogodjog-ji diw wudbarri garnin, marnburri yidodban laglan guna","The pigeon threw the spear, then made a deep nest."
girrgilang,Noun,galah,,,,
bago,Interjection,"used of something sought and now found, or something otherwise obvious, `indeed!' `that one!' `exactly that', or the like, see",,,A galulul bago gindiya-wan yidjangandiya Yerriyn-ba,"Right there on top he put it, when we came from Delamere"
nyingurrma-wujban,Noun,noisy person,,,,
minilgminilgba,Coverb,"be melted, melt",,638545441880569566A LexExampleSentence.wav,minilg yanja yigelelen,It is melting.
dily,Coverb,"block",,,dily buyirri buran-barra,He blocked himself with a boomerang.
gardbu-,Verb,"to wipe",,gadbu_sentence_nga-gadbuyin.wav,Nga-gardbun danani ngun-garang,I'll wipe this (baby) with faeces.
ngarralangma,Coverb,"stand poised, with paws up",,,,
yijangarndarra,Noun,"chin",,yijangandarra.wav,,
jogorlbong,Coverb,"slap on cheek",,638494487948187451A LexExampleSentence.wav,,jogorlbong bundi yijaga.
yorr,Coverb,"dead sleep",,,Yorr gurrgbarri.,She slept a dead sleep.
gay,Interjection,"call out to",,,,
marnbu,Verb,make,,,mayin marnbu ngunung.,Make bread for me.
ngorrma,Coverb,"grind",,,,
jabuj,Noun,grandfather,,,"nganinggin-gu yiguyu-wu yibiwi marluga jabuj ngunung, marluga jabuj ngunung Pluto, Yilunjabarndin.","My mother's father, old man, is my jabuj; my old jabuj was Pluto, Yilunjabarndin."
mirrij,Coverb,"to roll up, tie up",mirrijba,mirrij.wav,Mirrij na yawurr-men nungguru-warra. (mayin),They mix it up by hand.
yijogorl,Noun,temple,,yijogorl.wav,yijogorl-wuya nga-dagbarlan,I have two temples
jarrbanma,Coverb,"hug, wrestle",,,jarrban wurr-meyirri bangbun yibiyan,The woman and man hugged.
jabirri,Noun,"kind of stone spear point",,,,
bulunga,Noun,first-born,,bulunga.wav,,
wilywilyma-wujban,Noun,whistling one,,wilywilyma-wujban.wav,,
gidijba--,Verb,tickle,,,yawurr-gidijbiyin.,They are tickling each other.
ngarndag,Noun,"tick, dog tick",,638546330743070398A LexExampleSentence.wav,ngarndag minini-wu,dog tick
nurranggi,Verb,go,,,,
lirrb,Coverb,"diminish, go down",,,wiyan lirrb ya-yu,The water goes down.
balja,Noun,calico,,,,
barrwunin,Noun,"kind of stone, whiteish",,,,
ngana-yu,Negative,"no, I don't want/like it, let it be",,ngana-yu_sentence_marluga-wu-yilamagan-ngana-yu-gunga.wav,"Marluga-wu, yilamagan, ngana-wu gunga.","For the old man, maybe, let it be for him."
yarrindi,Noun,song type,,,,
goyin,Noun,"tree honey, sugarbag",,,"Goyin ya-jingin yumin-ya, liwarrga julu-ya.","`Goyin' is in trees, `liwarrga' on hills."
burrma,Coverb,"beat (leg)",,,,
juda,Adjective,short,,,yibiwi gunga marluga yijuda,his father old man is short.
dana,Demonstrative,this,,dana.wav,,
lirrawin,Noun,black cockatoo,,638495275011270457A LexExampleSentence.wav,,"Black cockatoo has black wings, his head is red."
nyaginod,Noun,sulky bugger,,,,
yurr,Coverb,"put inside, tuck, store",,,garnin yurr gindi layin-garang,He put  the spear
mogorl,Noun,buffalo grass,,,wolon yiwarnwarnin mogorl-warang nyab yin.gun-men,long grass stick on us.
jubad-bari,Qualitative,blocked,,,jubad-bari yigulan wonggo yayi-wojbarnanan,"blocked ears, he can't hear."
bulman,Adjective,fat,,,"nana wurren yibulman ngawurnen mayin yi-won, wudu-biji wo nana wurren yibulman","that far child you you give it lots of food, just give it a little bit"
jembe,Noun,death adder,,638494386955496948A LexExampleSentence.wav,,wumunburra-ya ya-jingin yimenjen jembe
yiyanggu-wa,Directional,"from east",,,,
dawma,Coverb,sit with legs crossed,,,dawma ya-jingin,He's sitting with legs crossed.
lag,Coverb,"be stupified, `drunk'",lagba,,"wardangba ya-yu ya-ngun-ga yarlarrg, lolorrma barrunin-wan lag ya-bun","Him go binjy top when him eat that branch, him go drunk."
boyod,Noun,round stone,,,,
derderde,Noun,"mother's father's wife; daughter's child; mother's mother",,,,
balanggin,Adjective,new,,,,
murrgun,Noun,"three",,murrgun_sentence_ngorlogba-jingi-murrgun-gu.wav,Ngorlogba jingi murrgun-gu.,Say it three times.
din.gal,Noun,"swelling, tumor",,,"marluga jabuj-ngunung din.gal dagbarlarri, yilunja-barndin","My mother's father had a swelling, `Sore Chest' [name]"
dingad,Coverb,"go up nose",,,dingad-mala ngundiya wiyan,he swallowed water
yiyijo,Noun,subincision,,,,
janbab,Coverb,"make an effort to",,,gagaygba ya-jingin gunga janbab.,He keeps on singing out for him.
jurrama,Coverb,"squirm (as baby)",,638494493983969685A LexExampleSentence.wav,,He squirms.
gerrngma,Coverb,"cry hard",,,"gerrngma ya-lun, marnungurru ya-lun ngabuluwu.","He's crying hard, he's crying hard for milk."
giylb,Coverb,"to beat up, be shrivelled or ragged",gilyba,giylba_sentence_giylba-ya-bun-yumin-barra.wav,Giylba ya-bun yumin-barra.,S/he smashes it (e.g. car) with a stick.
yibulwa,Noun,"kangaroo pouch",,,,
jangay,Noun,slingshot,,,Wurrmarnburriya jangay Wulinyjerriya jigjig,
donbong,Coverb,"chop vegetable food",,donbong_sentence_donbongma-wurr-mendi-ngamandaga-wu-gonjo-wa.wav,Mululurru-yi donbongma wurr-mendi gagawli,The old ladies pulled the yams out from the ground.
daldal,Coverb,"pound",,,,
garlarl,Adjective,clean,yigarlarl,garlarl_sentence_yiwalng-yigarlarl.wav,yiwalng yigarlarl,clean clothes
nelu,Noun,horse,,,,
bijarrg,Coverb,"leap out, spring forth",,,,
warrab,Coverb,"look back",,,"warrab ya-nan yanjaga, ngarr-waja nana laglan","him look back as he's going, we're leaving that place."
laglawun,Adjective,"indigenous",,638495200145750312A LexExampleSentence.wav,,"I am a camp-sitter, I stay one place."
yiwalyarri,Noun,subsection,,,,
garlwarrg,Noun,"billabong lily",,,,
mabarrbarr,Noun,"tin, billycan, bucket",,mabarrbarr.wav,"Warlng girdibun wurr-mendiya, ngamandagan, mayin mabarrbarr-ya jubad wurr-bundiya na.","Open it, finish it, they took, what is it, flour in the bucket and shut it."
gurrbijinman,Noun,python,,,,
morrmorrin,Adjective,hollow,,638546175498446418A LexExampleSentence.wav,Mayin wumorrmorrin,Rotten tucker (moldy).
garrarrama,Coverb,"to revolve, turn",,garrarrama.wav,Garrarrama yanja yidirrgiban,The car [wheels] go around.
ngij,Coverb,"to one side",,heap,"ngij na ye-meyin marlnga, ngij ya-nyangan","The cloud spreads out? or piles up, joins"
dorrb,Coverb,"slip",,dorrb_sentence_dorrb-wendi-wan.wav,dorrb wendi-wan,when he slipped
bimarla-,Verb,"blow (on fire), inflate",,bimarla_sentence_wuja-ya-bimarla.wav,Wuja-ya bimarla.,Blow on the fire.
wirrbwirrb,Coverb,"creak, of tree brach",,,"wirrbwirrb ye-men, bulun ya-nyangan narrma ya-men yarlarrg","It creaks, the wind comes and it grates."
bidirrijba,Coverb,"scrub",,,bidirrijba yirr-mendiya wiya-ya,We scrubbed it (cleaned) it in the water.
yarrimanbu,Noun,"taipan",,,,
bul,Coverb,"burst out",bulbul  bulma,bul_sentence_jubad-buyirriyawu-ngoyma-wurr-mendiya-jumba-danani-wan-bul-bundiya-wan-gonjo-wa-deb-wurr-bundiya-ngarlaga-ya-na.wav,"Jubad buyirriyawu, ngoyma wurr-mendiya jumba danani-wan, bul bundiya-wan gonjo-wa, deb wurrbundiya ngarlaga-ya na.","He (goanna) shut himself up, they shovelled behind here, he came out from the ground and bam!"
buju-wujban,Noun,"one who digs, digger",,,,
miwinin-gari,Adjective,"another time, before",,miwinin-gari.wav,miwinin-gari-ya ngang-da-yan,I might see you in two days.
miyarra,Adjective,softly,,638545457536340477A LexExampleSentence.wav,wurren miyarra ya wonggo gayardung yininyja,"You go slowly child, don't run."
beye,Adjective,"lowdown",,,,
winygama,Coverb,"be thin, scrawny, not well developed",,,"winygama ya-yu, yibiwi gunga yiwinygaman","He is thin, his father is scrawny."
nyayudbarraj,Noun,"claiming bugger, thief",,nyayudbarraj.wav,"dana nganinggin wonggo yini-gan, yinyang nyayudbarraj","This is mine, you can't take it, you are a claiming bugger"
jorro-,Verb,"to follow",,638494492013723723A LexExampleSentence.wav,,ngayugu ngajagi ngan-jorrorri.
jeyeman,Noun,"promise",,,,
ginodba-wari,Adjective,sulky person,,,,
yimiwingogog,Noun,sleepy person,,,,
jarl,Coverb,"to bump up against",jarlma,,"jarl wendi, wolon, gonjon yilamagan jarl wendi.","He fell down (tripped) grass, dirt, he tripped."
monojba,Coverb,"be hunched over, bend down",,mornojba.wav,"Monojba, yanima yanjaga munmunma.","Mornojba, is going hunched over like this."
nyilirrman,Adjective,"one who doesn't take notice, `no more earhole'",,,Dan.ganung wurren yinyilirrman,Those inattentive children
Birrindudu,Noun,station,,,,
larrgaja,Adjective,"bone bugger, poor",,larrgaja.wav,wumunburra-ya ya-yu,"A bone-bugger man, not meat, he's skinny"
warrura,Noun,mythological figure assoc. with Mt. Gregory,,,,
darni,Demonstrative,there,,,manbulloo-warr yirranggi darni galul julu-warr,We went there to Manbulloo up on the hill.
ngoyogoyo(nbi),Adverb,a few days ago,,ngoyogoyo.wav,Ngoyogoyo ngani-mendi nga-nyangandi yinggi ngorlogba-wu.,"A few days ago you got me, I came to you for language/to talk."
jurlman,Adjective,"pocket, hidden away",,,,
wolod-ja,Adjective,"under, underneath",,wolodja_sentence_wolodja-wan-wurr-gindiya-mayin-layin-denberr.wav,,
lorr,Coverb,"to go away (from), retreat",,638495288040806833A LexExampleSentence.wav,lorr yin-gun-gandiya,he took us away
ganben,Noun,flying fox,,,ngurlu marluga nganinggin-gu yiguyu-wu go ganben,"(as to) ngurlu, old man for my mother (her father), his was flying fox."
jerriyi-,Verb,"to be cold",,,ya-jerriyin yilamagan warlad,"He's cold, maybe he's sick"
joy,Coverb,"give",,joy_sentence_joy-yanggun-won.wav,Joy yanggun-won.,He gives (it) to them.
dij,Adverb,"a time, for one day",,dij_sentence_nanba-wan-dij-nga-jingindi-ngiwa-ngani-lawurri-warrguj.wav,Nanba-wan dij nga-jingindi ngiwa ngani-lawurri warrguj.,"Then I stayed a day, yesterday you picked me up."
ngurrulug,Coverb,"like",,,yawurr-gurrgba ngurrulug.,They sleep embraced.
mujud,Coverb,"cover",mujudba,mujudba_sentence_mujudba-ya-gin.wav,Mujudba ya-gin jerri-ya.,He covers it in the oven.
ngadjurlma,Coverb,"cough",,ngadjurlma.wav,ngadjurlma yidjingin warlad,"When we cough, we sick."
dilyag,Coverb,"cajole, `findim sweetheart'; seduce, like",,,Nganjayn.ga na wiya-wu bulugbulug-mala  dilyag  nganbudarri,When I went to drink grog they'd cajole me.
nubujuman,Noun,name,,,,
Croft,Noun,Croft,,,,
yibam,Noun,"head, hat",,yibam.wav,Dana yibam ngunu.,This is my head.
jarray,Coverb,"knock up, become exhausted",,638494376118218064A LexExampleSentence.wav,"jarray bundiya, wonggo yi-nganja baraj",he been spell.
debgarra,Coverb,"hit, strike different areas of body, `give it hiding'",,,,
Dungdung,Noun,"old woman, creator",,,,
gengorrnggengorrngma,Coverb,"have chest rattle",,,"gengorrma ya-yu yilunja, ngurlgurl-yi ya-bun","He has a bad chest, flu is getting him"
julumirri,Noun,small goanna,,,,
miding,Coverb,"tease",midingmiding,miding_sentence_yanggunburr-gegama-yanima-miding-miding-yawudayin-ga-wurren.wav,Yanggunburr-gegema yanima midingmiding yawudayin-ga wurren.,They scold them like that when the kids tease each other.
wilywily,Coverb,"twist,stretch",,,"wiylwiyl geyirriya na dalyarra twistim [wiylwiyl],nganju beng yanarriya","The dalyarra twisted now, the sinew snapped."
yiwaja,Noun,sister,,,,
jorijorij,Noun,bower bird,,,,
ginan,Noun,dilly bag,,ginan.wav,"Ginan wurr-gandiya jububun,ngamanda-warra bega yordin","They carried a dilly bag around their necks, with what, tobacco and ash"
jelmerrin,Noun,type of grass used for toy spears,,638494383840016185A LexExampleSentence.wav,jelmerrin,"donbong wu-lumarriya modmod jelmerrin; wu-lumarriya wire, menmen wurr-gindiya, jeliyn wurr-mendiya"
berlerlman,Noun,kerosene tree,,,,
Bulanin,Noun,Bulanin,,,,
menngen,Noun,white cockatoo,,,"menngen ya-jingin gagyagba yibiyan ya-nyangan borlgobborlgob, nanbawan yilamagan yibiyan menygoma","The cockatoo is calling, man is sneaking up, then maybe he makes you know"
ngiljig,Coverb,"swallow",,,ngiljig gindi,He swallowed her.
ngunagba,Coverb,smell good,,,ngunagba ya-jingin yilamagan bornbornmarri soap-garang,"S/he smells good, got soap."
gajigaji,Coverb,"to go walking",,gajigaji_sentence_yanjaga-gajigaji-yiwolman.wav,Yanjaga gajigaji yiwolman.,S/he keeps on walking.
jorrma,Coverb,"track",,638494491370488858A LexExampleSentence.wav,walanja jorrma yawurr-gin,They follow the tracks.
burrguj,Coverb,"blow, gust (wind)",,,bulun burrguj ya-bun,The wind is blowing.
Nyamuruj,Noun,personal name,,,,
baynbu-,Verb,"to fill container with",,,,
yirdiwulg,Noun,second born,,,,
yiyalang,Coverb,"inform, let know",,yiyalang_sentence_yiyalang-nganburr-gindi-ngamandagawu-yayi-yin.wav,"Yiyalang nganburr-gindi, ngamandagawu, yayi-yin.","They informed me about, what, going."
lorlowma,Coverb,rush out,,,ya-nyangan lorlowma wagayma jarrang,It come rushing like a current.
